name,Latitude,Longitude
ACERO,35.67994369622291,139.734944394659
AKEBONO（ホテルニューオータニ）,35.67994369622291,139.734944394659
All-Day Dining OASIS GARDEN,35.67970970122174,139.73749586767204
IL RISTORANTE LUCA FANTIN,35.67314386399919,139.767330427191
MERI Principessa,35.675665171245186,139.7673830979678
The Okura Tokyo,35.66741912851257,139.7437635369875
WASHOKU 蒼天 SOUTEN,35.680070709172725,139.73686362349446
edo ROOM,35.67972619087875,139.73569065232985
あじ菜,40.80042514734177,140.74098318139409
ざくろTBS店,35.673329753979246,139.7361470676717
つきじ治作,35.66529072022869,139.7771252676714
ときわ,35.66121431172366,139.72468049465826
なだ万本店山茶花荘,35.680345744334254,139.73380402349463
もりかわ,35.676925054071745,139.73604151906645
りゅう庵,35.68545870149983,139.7289471100012
The Okura Tokyoウィンザー,35.66741912851257,139.7437635369875
ウルフギャング・ステーキハウス,35.679579191328266,139.76178912534294
パレスホテル東京　エステール,35.68468280367582,139.76086371000116
オテル・ドゥ・ミクニ,35.68304016199502,139.7265917234947
オルクドール・サロンTOKYO（日本橋高島屋三井ビルディング）,35.68153913783875,139.773743667672
The Okura Tokyo　オーキッド,35.66741912851257,139.7437635369875
ガーデンコートクラブ（ホテルニューオータニ,35.68041968057931,139.73482239650747
クラウンルーム（リーガロイヤルホテル）,34.69049001476969,135.4871137522889
クラブ関東（大手町パークビルディング）,35.6867723417216,139.76281266767228
ザ・ナハテラス（沖縄）,26.69589831473943,127.6478563695953
シェフズキッチン（松山）,33.86540589741651,132.6968730754465
ステーキハウスハマ 六本木本店,35.66671620645781,139.727544123494
ダイヤモンドルーム（リーガロイヤルホテル広島）,34.397615028407955,132.45738149645416
ピーター・ルーガー・ステーキハウス 東京,35.64396941913341,139.71403932718977
ホテル ザ セレスティン東京芝,35.651048333920116,139.74885626767065
ラ プルーズ東京（ホテル　ザ　セレスティン東京芝,35.651029128157724,139.74880836582219
リストランテ クロディーノ,35.67319671687172,139.7657185388363
レ セゾン,35.67272896513208,139.75863111000055
レストラン イチ（甲府）,35.59570311645072,138.59101975787175
レストランキャンティ 飯倉片町本店,35.660990212213086,139.73864846951955
レストラン・パッション,35.647791414762004,139.70119528116422
下関春帆楼 東京店,35.680622384180154,139.7400644541783
中国飯店 六本木店,35.6617371289679,139.72789566582284
五代目 野田岩 別館,35.65773558871034,139.74288150815167
人形町今半人形町本店,35.68594455770488,139.78361785233034
人形町今半有楽町店,35.67592055139525,139.76195305491328
住友会館,35.664909053347515,139.73977415232923
光風湯圃べにや,36.22545935582844,136.19269258118845
八仙,35.7027943377574,139.73988474819882
加賀屋銀座店,35.67072607060026,139.7646496253425
叙々苑游玄亭赤坂,35.67522109656963,139.73713828116522
味感さとう（福島県,37.49738313752456,140.99415705240827
和田倉,35.70647066231563,139.75719404978662
嘉門,35.695737512604154,139.75080159935445
四季交楽 然,35.69236439794083,139.76165761184976
大観苑,35.68111051265122,139.73403016767207
天ぷら 天青,35.66769716505165,139.71850202534247
完之荘（早稲田大大隈庭園,35.710231874309535,139.72260012719246
富麗華,35.65647539201219,139.73838946582254
山里（The Okura Tokyo,35.66741912851257,139.7437635369875
広東名菜 赤坂璃宮,35.67338510415637,139.73571297039527
御肉処 銀閣寺大にし,35.01312277454658,135.76737991182156
志高荘,35.594459709176625,139.7207956737815
新ばし松山,35.66767181733507,139.76536007976043
新ばし金田中,35.66655331644784,139.76651523698754
新喜楽,35.666235614270285,139.7693064369875
日比谷パレス,35.67438012955909,139.7547525253427
日比谷松本楼,35.673854062060144,139.75587735417812
星ケ岡,35.674204192210944,139.74079505417816
有栖川清水,35.65073394406837,139.72815659465775
末広の間（明治記念館）,35.678276214053994,139.7216544253429
東京アメリカンクラブ（日本橋室町三井タワー）,35.68790928151552,139.77256692534326
東京アメリカンクラブ日本橋,35.68806295133802,139.77253062534328
東京倶楽部,35.666197864104795,139.74084434454826
東京吉兆,35.66866049392853,139.76341799449926
柳明（福島,37.61967039357321,140.55886897300007
柿安 銀座店,35.66893559161674,139.7628039965069
桃花林,35.66780070843838,139.74426435632742
楓の間（帝国ホテル,35.67262828679591,139.75794441184908
水仙,36.05513346870184,136.35249208118117
水簾（ザ・キャピトルホテル東急）,35.67416933008859,139.74077359650715
津やま,35.67246372332919,139.738073954178
焼肉 たかやま 新橋店,35.66793456198452,139.75564396951992
煉瓦（れんが）亭,35.67294321748076,139.76594812349413
牡丹の間（帝国ホテル）,35.67262828679591,139.75788003883616
玄冶店 浜田家,35.687349153443385,139.78288119650776
琥珀宮,35.68477021865967,139.761253283014
真南風（那覇,26.540763946310857,127.9357841808251
福田家,35.680474810211386,139.7357943928105
米八そば,26.330043242861336,127.82959003236371
芙蓉　（パレスホテル東京）,35.684888932473456,139.76118507518098
花梨,35.669130585413264,139.74060550591605
花郷 六本木店,35.66480788624443,139.7335713811649
贔屓,35.670862290653176,139.76037546767154
赤坂あじさい,35.67454183091152,139.73713572534263
赤坂いづみ,35.67002485257075,139.73470002534242
赤坂四川飯店,35.68003131653172,139.7393398457981
赤坂梢,35.67047229150522,139.73240345417796
赤坂津つ井 総本店,35.66900842040658,139.73784122534232
赤坂浅田,35.67414333015399,139.73810285417812
赤坂維新號,35.680248214817624,139.73642602719144
越後長岡小嶋屋 殿町本店,37.445981271364694,138.84988455240588
鉄板焼 さざんか,35.670691174157966,139.7437904770929
鉄板焼 しゃぶしゃぶ ステーキハウス 桂,35.631504375547806,139.7356951253408
銀座 結絆,35.67031122797318,139.760522038836
銀座 鮨あらい,35.66831632576949,139.76274628301337
銀座つる,35.668757659827435,139.7635485983554
銀座ハプスブルク,35.66926601022723,139.76245832534244
銀波―GINPA―銀座店,35.67163336812319,139.76442895417804
錦竜,35.17215821976285,136.8754028147274
錦雲閣,34.17135692259775,132.17630079644522
雅の間（帝国ホテル）,35.6726631495914,139.75790149650712
雅山,35.66048178383054,139.73992523883572
霞山会館,35.67212787725083,139.74791162349428
鷹匠寿,35.710569746021264,139.79509058301528
